Observation,Year Sold,Sale Price,UFFI IN,Brick Ext,45 Yrs+,Bsmnt Fin_SF,Lot Area,Enc Pk Spaces,Living Area_SF,Central Air,Pool
62,2014,"143,000 ",0,1,1,0,4126,1,887.91,1,0
24,2016,"145,000 ",1,0,1,0,8640,1,843.30,0,0
47,2015,"145,000 ",0,0,1,0,9450,1,1464.92,1,0
48,2015,"145,000 ",1,0,1,0,11650,1,1077.18,0,0
2,2014,"148,000 ",0,0,1,0,5064,1,1083.36,0,0
45,2014,"149,900 ",0,1,1,0,4000,1,1063.95,0,0
20,2010,"154,000 ",0,0,1,368,4281,0,743.06,0,0
72,2015,"160,000 ",0,1,1,231,4680,1,1057.53,0,0
42,2016,"164,000 ",0,1,1,384,4246,1,833.74,1,0
96,2016,"179,000 ",0,0,0,334,7900,2,1293.76,1,0
95,2015,"187,000 ",0,0,0,720,7475,2,1343.30,1,0
19,2015,"187,500 ",1,0,1,720,8250,2,1535.60,1,0
97,2016,"189,000 ",0,1,0,154,10080,2,1320.95,1,0
22,2016,"198,000 ",0,0,1,309,6518,1,1350.22,1,0
21,2016,"200,000 ",0,0,1,260,5544,2,1792.63,0,1
71,2016,"200,000 ",0,1,1,214,4180,1,1576.39,1,0
94,2016,"347,000 ",0,1,0,442,8190,2,1279.69,1,1
40,2016,"250,000 ",0,1,1,0,11200,2,2338.66,1,0
60,2010,"250,000 ",1,1,1,0,11200,2,2042.95,1,0
,,,,,,,,,,,
